date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:54	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Mar%202025%2009:43:54%20GMT	https://web.telegram.org/robots.txt		(from )
05:43:55	3075/3075	---MCZ	200	added ('OK')	text/html	etag:W/%2267cb02a4-c03%22	https://web.telegram.org/a/	/home/kali/web_clone/web.telegram.org/a/index.html	(from )
05:43:55	255/255	---M--	200	added ('OK')	text/xml	etag:%22608a0119-ff%22	https://web.telegram.org/a/browserconfig.xml	/home/kali/web_clone/web.telegram.org/a/browserconfig.xml	(from https://web.telegram.org/a/)
05:43:56	3059/3059	---M--	200	added ('OK')	image/png	etag:%226166c642-bf3%22	https://web.telegram.org/a/icon-192x192.png	/home/kali/web_clone/web.telegram.org/a/icon-192x192.png	(from https://web.telegram.org/a/)
05:43:57	2445/2445	---M--	200	added ('OK')	image/png	etag:%22617a9fd9-98d%22	https://web.telegram.org/a/apple-touch-icon.png	/home/kali/web_clone/web.telegram.org/a/apple-touch-icon.png	(from https://web.telegram.org/a/)
05:43:58	892/892	---M--	200	added ('OK')	image/svg+xml	etag:%226166c642-37c%22	https://web.telegram.org/a/favicon.svg	/home/kali/web_clone/web.telegram.org/a/favicon.svg	(from https://web.telegram.org/a/)
05:43:59	341/341	---M--	200	added ('OK')	image/png	etag:%22617a9fd9-155%22	https://web.telegram.org/a/favicon-16x16.png	/home/kali/web_clone/web.telegram.org/a/favicon-16x16.png	(from https://web.telegram.org/a/)
05:44:00	734/734	---M--	200	added ('OK')	image/png	etag:%22617a9fd9-2de%22	https://web.telegram.org/a/favicon-32x32.png	/home/kali/web_clone/web.telegram.org/a/favicon-32x32.png	(from https://web.telegram.org/a/)
05:44:01	2409/2409	---M--	200	added ('OK')	image/x-icon	etag:%22617a9fd9-969%22	https://web.telegram.org/a/favicon.ico	/home/kali/web_clone/web.telegram.org/a/favicon.ico	(from https://web.telegram.org/a/)
05:44:02	1174/1174	---M--	200	added ('OK')	application/octet-stream	etag:%2263785253-496%22	https://web.telegram.org/a/site.webmanifest	/home/kali/web_clone/web.telegram.org/a/site.webmanifest	(from https://web.telegram.org/a/)
05:44:03	325/325	---M--	200	added ('OK')	application/javascript	etag:%2264b9596e-145%22	https://web.telegram.org/a/redirect.js	/home/kali/web_clone/web.telegram.org/a/redirect.js	(from https://web.telegram.org/a/)
